MM	https://solgenomics.net/ftp/genomes/TGG/genome/MM.fasta.gz
PP	https://solgenomics.net/ftp/genomes/TGG/genome/PP.fasta.gz
TS112	https://solgenomics.net/ftp/genomes/TGG/genome/TS112.fasta.gz
TS12	https://solgenomics.net/ftp/genomes/TGG/genome/TS12.fasta.gz
TS166	https://solgenomics.net/ftp/genomes/TGG/genome/TS166.fasta.gz
TS171	https://solgenomics.net/ftp/genomes/TGG/genome/TS171.fasta.gz
TS185	https://solgenomics.net/ftp/genomes/TGG/genome/TS185.fasta.gz
TS204	https://solgenomics.net/ftp/genomes/TGG/genome/TS204.fasta.gz
TS222	https://solgenomics.net/ftp/genomes/TGG/genome/TS222.fasta.gz
TS281	https://solgenomics.net/ftp/genomes/TGG/genome/TS281.fasta.gz
TS331	https://solgenomics.net/ftp/genomes/TGG/genome/TS331.fasta.gz
TS39	https://solgenomics.net/ftp/genomes/TGG/genome/TS39.fasta.gz
TS3	https://solgenomics.net/ftp/genomes/TGG/genome/TS3.fasta.gz
TS413	https://solgenomics.net/ftp/genomes/TGG/genome/TS413.fasta.gz
TS421	https://solgenomics.net/ftp/genomes/TGG/genome/TS421.fasta.gz
TS60	https://solgenomics.net/ftp/genomes/TGG/genome/TS60.fasta.gz
TS623	https://solgenomics.net/ftp/genomes/TGG/genome/TS623.fasta.gz
TS629	https://solgenomics.net/ftp/genomes/TGG/genome/TS629.fasta.gz
TS692	https://solgenomics.net/ftp/genomes/TGG/genome/TS692.fasta.gz
TS80	https://solgenomics.net/ftp/genomes/TGG/genome/TS80.fasta.gz
TS96	https://solgenomics.net/ftp/genomes/TGG/genome/TS96.fasta.gz
TS9	https://solgenomics.net/ftp/genomes/TGG/genome/TS9.fasta.gz
SL5	https://solgenomics.net/ftp/genomes/TGG/genome/SL5.0.fasta.gz
