Sample	Name	TGRC 	PI CGN #	EA #	Sequence platform	Group	Species
TS9	Ailsa Craig 	LA2838A 	-	-	HiFi	BIG	Solanum lycopersicum
TS80	-	-	-	EA01020	HiFi	BIG	Solanum lycopersicum
TS692	Wheatleys Frost Resistant	-	PI203232	EA04939	HiFi	BIG	Solanum lycopersicum
TS629	Yellow Pear	-	-		HiFi	BIG	Solanum lycopersicum
TS60	New Yorker	LA2009	-	-	HiFi	BIG	Solanum lycopersicum
TS331	-	-	-	-	HiFi	BIG	Solanum lycopersicum
TS3	M-82	LA3475	-	-	HiFi	BIG	Solanum lycopersicum
TS204	Florida 7060 	LA3840	-	-	HiFi	BIG	Solanum lycopersicum
TS185	B-L-35	LA4347	-	-	HiFi	BIG	Solanum lycopersicum
TS171	UC-82	LA1706	-	-	HiFi	BIG	Solanum lycopersicum
TS166	Piura	LA0404	-	-	HiFi	BIG	Solanum lycopersicum
TS12	yoku improvement	-	-	-	HiFi	BIG	Solanum lycopersicum
TS117	Scatolone di bolsena	-	-	-	HiFi	BIG	Solanum lycopersicum
TS112	-	-	-	EA03083	HiFi	BIG	Solanum lycopersicum
SL5.0	Heinz 1706	LA4345	-	-	HiFi	BIG	Solanum lycopersicum
PI303721	The Dutchman	-	PI303721		ONT	BIG	Solanum lycopersicum
PI169588 	S. lycopersicum Dolmalik	-	PI169588	EA04861	ONT	BIG	Solanum lycopersicum
TS2	Moneymaker	LA2706	-	-	HiFi	BIG	Solanum lycopersicum
LYC1410	ES 58 Heinz	-	-	LYC1410/EA02655	ONT	BIG	Solanum lycopersicum
Floradade	Floradade	LA3242	-	-	ONT	BIG	Solanum lycopersicum
Fla8924 	-	-	-	-	ONT	BIG	Solanum lycopersicum
TS681	Jersey devil	LA0118	-	EA00990	ONT	BIG	Solanum lycopersicum
EA00371	John's big orange	-	-	EA00371	ONT	BIG	Solanum lycopersicum
Brandywine 	-	-	-	-	ONT	BIG	Solanum lycopersicum
TS96	-	LA1456	-	-	HiFi	CER	Solanum lycopersicum var. cerasiforme
TS623	Sugar Lump	-	-		HiFi	CER	Solanum lycopersicum var. cerasiforme
TS545	Peacevine Cherry	-	-		HiFi	CER	Solanum lycopersicum var. cerasiforme
TS39	Cerise Gold	-	-	-	HiFi	CER	Solanum lycopersicum var. cerasiforme
TS281	San Martin de Pangoa	LA1286	PI365920	-	HiFi	CER	Solanum lycopersicum var. cerasiforme
TS280	Cerise du sud ouest N 2	-	-	-	HiFi	CER	Solanum lycopersicum var. cerasiforme
TS238	Macas	LA1228	PI379047	-	HiFi	CER	Solanum lycopersicum var. cerasiforme
TS118	Santa Cruz, Galapagos	LA0292	-	-	HiFi	CER	Solanum lycopersicum var. cerasiforme
BGV007989 	-	-	-	-	ONT	CER	Solanum lycopersicum var. cerasiforme
BGV007931 	-	-	-	-	ONT	CER	Solanum lycopersicum var. cerasiforme
BGV006865 	-	-	-	-	ONT	CER	Solanum lycopersicum var. cerasiforme
TS439	-	LA2656	PI503524	-	HiFi	PIM	Solanum pimpinellifolium
TS421	-	LA2187	-	-	HiFi	PIM	Solanum pimpinellifolium
TS413	-	LA1242	-	-	HiFi	PIM	Solanum pimpinellifolium
TS265	Hacienda Buenos Aires	LA0400	-	-	HiFi	PIM	Solanum pimpinellifolium
TS222	Wva 700	-	-	-	HiFi	PIM	Solanum pimpinellifolium
TS156	Balsa Huaico	LA2181	-	-	HiFi	PIM	Solanum pimpinellifolium
TS15	-	LA2093	-	-	HiFi	PIM	Solanum pimpinellifolium
TS22	Pisiquillo	LA1269	PI365957	-	HiFi	PIM	Solanum pimpinellifolium
PAS014479 	-	-	-	-	ONT	PIM	Solanum pimpinellifolium
LA2093	-	LA2093	-	-	CLR	PIM	Solanum pimpinellifolium
BGV006775 	-	-	-	-	ONT	PIM	Solanum pimpinellifolium
PP						PIM	
